score,type,ff,fav1_o,ticket,avg_roi,min_roi,avg_n,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
blend70,top3%,14,3.0,単勝ex3,130.9353930437227,101.5340909090909,29.0,121.35211267605635,36,138.93229166666669,39,101.5340909090909,36,161.92307692307693,5
rest_threat,top9%,99,1.5,単勝ex3,124.58586972872686,105.37414965986393,22.5,117.38738738738739,29,134.96969696969697,31,105.37414965986393,26,140.6122448979592,4
rest_threat,top9%,16,1.5,単勝ex3,127.08088664370217,111.03942652329751,21.75,117.9179810725552,28,138.75389408099687,30,111.03942652329751,25,140.6122448979592,4
rest_threat,top10%,16,1.5,単勝ex3,119.80063843681879,102.397476340694,24.0,109.2982456140351,31,126.89458689458691,33,102.397476340694,28,140.6122448979592,4
