iter	Passed	Remaining
399	72439	108658
400	72588	108429
401	72761	108237
402	72939	108051
403	73092	107828
404	73292	107676
405	73501	107536
406	73719	107409
407	73906	107236
408	74111	107090
409	74316	106943
410	74467	106718
411	74637	106521
412	74793	106304
413	74991	106146
414	75151	105936
415	75344	105772
416	75505	105562
417	75652	105335
418	75858	105188
419	76010	104967
420	76218	104823
421	76412	104659
422	76560	104434
423	76778	104302
424	76956	104117
425	77116	103908
426	77303	103735
427	77489	103560
428	77662	103368
429	77855	103204
430	78045	103033
431	78196	102813
432	78402	102665
433	78598	102503
434	78806	102357
435	79025	102225
436	79214	102053
437	79374	101845
438	79545	101652
439	79739	101486
440	79917	101301
441	80121	101149
442	80327	100999
443	80547	100865
444	80757	100719
445	80953	100555
446	81147	100390
447	81291	100162
448	81451	99955
449	81646	99790
450	81843	99627
451	82040	99465
452	82262	99332
453	82479	99193
454	82688	99044
455	82900	98899
456	83065	98696
457	83270	98542
458	83431	98336
459	83638	98183
460	83831	98015
461	83987	97803
462	84200	97657
463	84410	97508
464	84582	97314
465	84771	97142
466	84985	96996
467	85169	96816
468	85337	96618
469	85546	96466
470	85735	96292
471	85935	96131
472	86073	95899
473	86253	95715
474	86449	95549
475	86633	95369
476	86838	95212
477	87026	95037
478	87227	94876
479	87417	94702
480	87599	94520
481	87775	94331
482	87982	94175
483	88175	94005
484	88326	93789
485	88497	93595
486	88704	93440
487	88898	93270
488	89123	93132
489	89323	92969
490	89466	92746
491	89665	92581
492	89839	92391
493	89982	92168
494	90147	91968
495	90294	91751
496	90496	91588
497	90700	91428
498	90867	91232
499	91013	91013
500	91186	90822
501	91389	90660
502	91559	90467
503	91752	90295
504	91958	90137
505	92115	89931
506	92313	89764
507	92509	89596
508	92716	89437
509	92901	89257
510	93089	89081
511	93281	88908
512	93443	88707
513	93624	88524
514	93831	88365
515	94011	88181
516	94210	88014
517	94405	87844
518	94558	87635
519	94754	87465
520	94935	87282
521	95151	87131
522	95339	86954
523	95518	86768
524	95684	86571
525	95871	86393
526	96060	86217
527	96266	86056
528	96475	85897
529	96650	85709
530	96801	85498
531	97014	85343
532	97211	85174
533	97400	84997
534	97597	84827
535	97766	84633
536	97923	84429
537	98148	84283
538	98344	84112
539	98536	83938
540	98730	83765
541	98887	83562
542	99103	83407
543	99293	83231
544	99441	83019
545	99634	82846
546	99849	82690
547	100058	82530
548	100219	82329
549	100426	82167
550	100628	82000
551	100817	81823
552	100982	81625
553	101188	81462
554	101382	81289
555	101537	81084
556	101742	80919
557	101906	80721
558	102083	80534
559	102292	80372
560	102485	80197
561	102679	80023
562	102874	79851
563	103075	79682
564	103238	79484
565	103463	79333
566	103660	79161
567	103826	78966
568	104029	78799
