iter	Logloss
0	0.676674384
1	0.662427929
2	0.6495802356
3	0.6378312025
4	0.6277567144
5	0.6188753965
6	0.610512551
7	0.6030025453
8	0.5964722181
9	0.5904599565
10	0.5849449735
11	0.580232529
12	0.5762070116
13	0.5720831023
14	0.5685979525
15	0.5650041414
16	0.5622068329
17	0.5596153896
18	0.5572475903
19	0.5551861293
20	0.5529813949
21	0.5512388247
22	0.5497759771
23	0.5482880553
24	0.5471072849
25	0.5456732117
26	0.5446395259
27	0.5434327771
28	0.542474864
29	0.5417112406
30	0.5409783178
31	0.5403010029
32	0.5395506912
33	0.5389893465
34	0.5385770656
35	0.5381214583
36	0.5377257968
37	0.5374071777
38	0.536966223
39	0.5365621865
40	0.5362085668
41	0.5358626595
42	0.5355726542
43	0.5352451062
44	0.5348387054
45	0.534630365
46	0.5343391627
47	0.5341554978
48	0.5339541017
49	0.5337486993
50	0.5335619947
51	0.5334048676
52	0.5331957495
53	0.533023398
54	0.5328911526
55	0.5327733672
56	0.5326392517
57	0.5325680794
58	0.5324377117
59	0.5323091548
60	0.5321642011
61	0.5320992684
62	0.5320016954
63	0.5318963564
64	0.5317823762
65	0.531671416
66	0.5315974279
67	0.5315206739
68	0.531450507
69	0.5313413486
70	0.531269472
71	0.5311827421
72	0.5310623321
73	0.5310396666
74	0.5309723571
75	0.5308962991
76	0.5308665
77	0.5308070985
78	0.5307532437
79	0.5306956594
80	0.5306310834
81	0.530547753
82	0.5304728311
83	0.5304273514
84	0.5303693262
85	0.5303153438
86	0.5302854539
87	0.530247046
88	0.5301708022
89	0.5301203591
90	0.5300699069
91	0.5300162518
92	0.5299843649
93	0.5299187492
94	0.5298679222
95	0.5297845124
96	0.5297144739
97	0.5296656213
98	0.529624256
99	0.529582818
100	0.5295615087
101	0.5295265852
102	0.5294976821
103	0.5294512912
104	0.5293879677
105	0.5293416749
106	0.5293043133
107	0.5292576664
108	0.5292236692
109	0.5291323753
110	0.529102781
111	0.529054835
112	0.5290301562
113	0.5289947892
114	0.5289594175
115	0.5289217358
116	0.528887167
117	0.5288388483
118	0.5287972754
119	0.5287540018
120	0.5287308819
121	0.5286908246
122	0.5286885448
123	0.5286461491
124	0.5286028039
125	0.5285818693
126	0.5285322752
127	0.5284975363
128	0.5284856677
129	0.528440392
130	0.5284099786
131	0.5283796773
132	0.528347616
133	0.5283247421
134	0.528308911
135	0.5282988097
136	0.5282776162
137	0.5282332864
138	0.5281763932
139	0.5281244351
140	0.5280811007
141	0.5280452423
142	0.5280094188
143	0.5279840693
144	0.5279156142
145	0.5278886442
146	0.5278513574
147	0.527830029
148	0.5277907422
149	0.5277534002
150	0.5277102551
151	0.5276710189
152	0.5276247632
153	0.5276220759
154	0.5275743383
155	0.5275527849
156	0.5275350161
157	0.5275031425
158	0.5274706612
159	0.5274493085
160	0.5274215779
161	0.5273852316
162	0.5273513165
163	0.5273104856
164	0.5272805953
165	0.5272772897
166	0.5272391236
167	0.5272112817
168	0.5271830839
169	0.5271645859
170	0.5271613734
171	0.5271260776
172	0.5270835549
173	0.5270399031
174	0.5269847334
175	0.5269445118
176	0.5268966256
177	0.5268617555
178	0.5268125893
179	0.5267959874
180	0.5267589414
181	0.5267345348
182	0.52670387
183	0.5266904164
184	0.526642001
185	0.526638951
186	0.5266066034
187	0.526568063
188	0.5265329078
189	0.5264894078
190	0.5264608497
191	0.5264403999
192	0.5264165986
193	0.5263999973
194	0.5263563082
195	0.526330699
196	0.5262861765
197	0.5262492891
198	0.526214744
199	0.5261871858
200	0.5261544897
201	0.5261077342
202	0.526070845
203	0.5260371561
204	0.5260112271
205	0.5259823507
206	0.5259634898
207	0.5259229019
208	0.5258924982
209	0.5258676303
210	0.5258421809
211	0.5258168852
212	0.525787852
213	0.5257597252
214	0.5257171493
215	0.5256778561
216	0.5256415104
217	0.5256150301
218	0.5255761765
219	0.5255532989
220	0.5255315819
221	0.5254848136
222	0.5254667729
223	0.5254203947
224	0.5254174468
225	0.5253889069
226	0.5253621211
227	0.5253469148
228	0.5253183134
229	0.5252752045
230	0.5252458835
231	0.5252048387
232	0.5251793951
233	0.5251537074
234	0.5251200666
235	0.5250759991
236	0.5250365779
237	0.5250191821
238	0.5249886248
239	0.5249521899
240	0.5249215783
241	0.5248659178
242	0.5248471174
