iter	Logloss
243	0.5248132568
244	0.5248022992
245	0.5247557089
246	0.5247260708
247	0.5246805145
248	0.5246357842
249	0.5246140524
250	0.5245790376
251	0.5245602867
252	0.5245197956
253	0.5244704741
254	0.5244214177
255	0.5243820828
256	0.524330434
257	0.5243089597
258	0.5242917655
259	0.5242509047
260	0.5241978626
261	0.524157688
262	0.5241230171
263	0.5240870594
264	0.5240555125
265	0.5239938527
266	0.5239475379
267	0.5238981126
268	0.5238546104
269	0.5238053932
270	0.5237574882
271	0.5237260646
272	0.5236798003
273	0.5236419247
274	0.5235788336
275	0.5235385259
276	0.5235005764
277	0.5234485495
278	0.5233910769
279	0.523327588
280	0.523287083
281	0.5232410704
282	0.523209828
283	0.5231700579
284	0.5231264648
285	0.5230724156
286	0.5230205292
287	0.5229812235
288	0.5229285499
289	0.5228802471
290	0.5228376078
291	0.5228022654
292	0.5227512105
293	0.5226906062
294	0.5226368162
295	0.5225521924
296	0.5224827177
297	0.5224389381
298	0.5223817757
299	0.5223302935
300	0.5222856327
301	0.5222393669
302	0.5221920235
303	0.5221511293
304	0.5220932823
305	0.5220418913
306	0.5220059668
307	0.5219522792
308	0.5218911887
309	0.521828591
310	0.5217859982
311	0.521729016
312	0.5216868801
313	0.5216340182
314	0.5215804571
315	0.521518795
316	0.5214661554
317	0.5214122591
318	0.5213492063
319	0.5212998337
320	0.5212446084
321	0.5211916531
322	0.5211402639
323	0.5211059337
324	0.5210506248
325	0.5210024577
326	0.5209420756
327	0.5208753954
328	0.5208089253
329	0.5207656952
330	0.5207110039
331	0.5206620856
332	0.5205987663
333	0.5205488337
334	0.5204952896
335	0.5204453912
336	0.520394896
337	0.5203394738
338	0.5202977952
339	0.5202489162
340	0.5202010848
341	0.5201542081
342	0.5201194757
343	0.5200729279
344	0.520022079
345	0.5199754608
346	0.5199241206
347	0.5198810446
348	0.5198278795
349	0.519796587
350	0.5197460123
351	0.5196879146
352	0.5196379816
353	0.5195866772
354	0.5195327183
355	0.5194902664
356	0.5194382205
357	0.5193986095
358	0.5193422231
359	0.5192966181
360	0.5192700185
361	0.5192164987
362	0.5191732749
363	0.5191194267
364	0.5190767431
365	0.5190426618
366	0.519005777
367	0.5189661624
368	0.5189134502
369	0.5188651958
370	0.5188150942
371	0.5187647667
372	0.5187194488
373	0.51867827
374	0.518614397
375	0.518558373
376	0.5185356985
377	0.518487975
378	0.5184476613
379	0.5184048691
380	0.5183714665
381	0.5183161354
382	0.5182797373
383	0.518229348
384	0.5181734411
385	0.5181299048
386	0.5180575219
387	0.5180088566
388	0.5179679415
389	0.5179476399
390	0.5179053723
391	0.5178489297
392	0.5177965349
393	0.5177334521
394	0.5176756888
395	0.5176227301
396	0.517564007
397	0.5175206013
398	0.517471457
399	0.5174296194
400	0.5173798964
401	0.517357008
402	0.5173145335
403	0.5172596192
404	0.517211203
405	0.5171674075
406	0.5171297269
407	0.5170957922
408	0.5170439615
409	0.5169973994
410	0.5169627304
411	0.5169115518
412	0.516861419
413	0.5168090477
414	0.5167558378
415	0.5166967499
416	0.5166539117
417	0.516596421
418	0.5165564071
419	0.5165116389
420	0.5164828022
421	0.5164469562
422	0.5164034918
423	0.5163632743
424	0.5163133031
425	0.516254358
426	0.5162124469
427	0.5161799239
428	0.516144662
429	0.5160959034
430	0.5160471996
431	0.5160079861
432	0.5159606455
433	0.5159180316
434	0.5158742216
435	0.5158437028
436	0.5157885432
437	0.5157468841
438	0.515690231
439	0.5156378653
440	0.5156111549
441	0.5155595156
442	0.5155067315
443	0.5154588461
444	0.5154193867
445	0.5153738986
446	0.5153344925
447	0.5152752122
448	0.5152419764
449	0.5152153533
450	0.5151648132
451	0.5151051397
452	0.5150624041
453	0.5150104406
454	0.5149739444
455	0.5149434586
456	0.5148956084
457	0.5148514774
458	0.5148085524
459	0.5147536555
460	0.5147186745
461	0.5146777713
462	0.5146326469
463	0.5145986558
464	0.514557544
465	0.5145059797
466	0.5144545647
467	0.5143896349
468	0.5143368804
469	0.5143049244
470	0.5142470202
471	0.5142033444
472	0.5141346936
473	0.5140902419
474	0.5140463007
475	0.5140408247
476	0.5140150641
477	0.5139699964
478	0.5139124836
479	0.5138623647
480	0.5138231371
481	0.5137759372
482	0.5137384354
483	0.5136872476
484	0.5136382751
485	0.5135893702
486	0.5135564671
487	0.5135255243
488	0.5134952268
489	0.5134515189
490	0.5134021164
491	0.5133507263
492	0.5133007522
493	0.5132566128
494	0.5132275986
495	0.5131745564
496	0.5131275521
497	0.5130737793
498	0.5130370016
499	0.5129849253
500	0.5129407746
501	0.5129164239
502	0.5128739451
503	0.5128163157
504	0.5127736753
505	0.5127229272
506	0.5126938627
507	0.5126511295
508	0.512619429
509	0.5125687719
510	0.5125439664
511	0.5124936297
512	0.5124482987
513	0.5124190692
514	0.5123897681
515	0.512347713
516	0.5123094792
517	0.5122640338
518	0.5122026336
519	0.5121438294
520	0.5121200686
521	0.5120963445
522	0.5120506354
523	0.5120232933
524	0.5119870542
525	0.511950169
526	0.5119036477
527	0.5118593182
528	0.5118046527
529	0.5117567463
530	0.5116972318
531	0.5116470954
532	0.5116027869
533	0.5115941776
534	0.5115581505
535	0.5115170398
536	0.5114609185
537	0.5114201808
538	0.5113653585
539	0.5113285885
540	0.5112781253
541	0.5112386747
542	0.5111899778
543	0.5111315072
544	0.5110731965
545	0.5110410884
546	0.5109967779
547	0.5109544391
548	0.5109033142
549	0.5108586466
550	0.5107970258
551	0.5107688035
552	0.5107200223
553	0.5106663738
554	0.5106324369
555	0.5105763252
556	0.5105390203
557	0.510494367
558	0.5104453297
559	0.5104094728
560	0.5103726354
561	0.5103212365
562	0.5102782298
563	0.510227172
564	0.5101825264
565	0.5101458652
566	0.5101035396
567	0.5100623122
568	0.5100101529
